customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value
31813,Indrajit Pau,wakeetasehgal@example.com,911785834174,"66, Vora Chowk
Maheshtala 376030",Sultan Pur Majra,666762,2024-04-10,Regular,18,1230.75
31826,Ekiya Pau,fbedi@example.com,919364120886,"H.No. 336
Lad Zila, Hajipur-409871",Chinsurah,201602,2023-11-29,New,18,752.780029296875
61020,Onkar Suresh,rudradeshpande@example.com,918421031341,"88/40, Bora Zila, Phusro-161515",Kurnool,345635,2024-07-27,New,19,1703.1600341796875
75482,Jeet Gandhi,amrita05@example.net,916683687947,"95/861, Jaggi, Sikar-343285",Korba,298093,2024-09-19,Regular,13,1938.3800048828125
119099,Zansi Parsa,neha08@example.com,912032907631,"H.No. 40, Gopal Ganj, Bidar 854350",Kavali,692517,2023-08-01,Inactive,20,637.3499755859375
188838,Idika Basu,deepakhanna@example.com,914955579642,"67, Karan Chowk
Katihar 496332",Madanapalle,566155,2024-07-16,Inactive,12,799.1099853515625
191616,Brijesh Tata,yadavipatla@example.org,918144382068,"19/151, Bera Nagar, Surendranagar Dudhrej-068367",Pallavaram,587079,2023-04-27,Regular,4,1053.699951171875
211163,Hiral Baral,bhavsaryagnesh@example.com,911312775966,"H.No. 11
Sharma Chowk, Jhansi-302598",Satna,50152,2024-06-10,Regular,9,1169.1099853515625
243838,Sudiksha Nagar,chandanikrish@example.net,913688907644,"H.No. 58
Cherian Zila
Dhule 851724",Visakhapatnam,865844,2024-05-16,New,11,1158.27001953125
376144,Ira Chhabra,caleb02@example.com,914254514422,"H.No. 39
Sarkar Path
Karawal Nagar-657936",Anantapuram,627253,2023-12-19,Regular,13,1784.3199462890625
408590,Januja Zachariah,nakshsahni@example.net,916303259192,"25/639
Chandran Zila
Kozhikode 329055",Jorhat,356268,2024-03-11,Regular,17,436.739990234375
469006,Shivansh Loyal,darikaperi@example.net,910131483498,"49, Garg Ganj
Bhubaneswar-563425",Begusarai,814266,2023-08-21,Inactive,2,1393.199951171875
625395,Leena Loyal,devanshwalia@example.org,910364415832,"H.No. 758
Bhardwaj Street, Jamalpur-645017",Siliguri,645207,2024-03-27,Premium,4,1794.260009765625
644189,Tanay Sahni,janya99@example.org,913485618787,"H.No. 95
Bhasin Path, Raiganj 351412",Bhopal,899027,2023-12-15,Premium,2,793.8599853515625
666589,Kevin Bassi,jainchandani@example.net,912286568717,"25/224
Soni Ganj
Visakhapatnam-398942",Morbi,852969,2023-07-31,Regular,15,465.3800048828125
701493,Ekaraj Saini,arya43@example.net,918673348146,"H.No. 327, Borde Circle, Dibrugarh 462007",Shahjahanpur,845299,2024-02-11,Inactive,2,290.07000732421875
767523,Maya Khosla,khannaijaya@example.org,918702216695,"H.No. 10
Venkatesh Street, Kakinada 570578",Vasai-Virar,375272,2023-05-27,Inactive,13,1737.280029296875
773410,Ladli Saha,gautami44@example.net,913650109706,"72/38
Krish Street, Bijapur-804266",Kota,906115,2023-06-25,New,13,1694.7900390625
820740,Mekhala Sathe,naveennatt@example.com,914144553554,"H.No. 20, Thakkar Marg
Ambala 748990",Ambala,634784,2023-11-15,Premium,1,1385.4599609375
894128,Chatura Agarwal,harishom@example.net,919523503339,"58/69
Mallick Path
Rajahmundry 318453",Durgapur,13150,2023-07-20,Inactive,5,1323.3199462890625
899941,Lopa Venkataraman,gavinchoudhary@example.org,919236408026,"H.No. 780, Oommen Chowk
Satna 564861",Sambhal,12225,2024-06-25,Premium,18,1202.3499755859375
949062,Jackson Karpe,sembhavika@example.net,910274625288,"H.No. 81, Mital Ganj
Mangalore 130050",Mau,106228,2023-10-13,Inactive,19,1947.1400146484375
954629,Fiyaz Mand,naggarwal@example.com,915395090719,"46/673
Magar Ganj, Panchkula 815005",Begusarai,107720,2024-02-26,New,14,1390.0799560546875
966247,Jeevika Deo,sbalasubramanian@example.net,914778660685,"894, Chanda Road
Kamarhati 134874",Junagadh,410259,2023-11-16,Inactive,13,1110.760009765625
1060685,Yadavi Rajagopalan,dipta24@example.net,912609155283,"48
Choudhary Ganj, Gorakhpur 965066",Mango,449803,2024-03-07,Inactive,4,999.239990234375
1108176,Charita Chad,ekantika51@example.com,919496285339,"99/756, Gour Marg
Suryapet-685926",Bhalswa Jahangir Pur,902052,2023-07-27,Premium,20,1460.760009765625
1134585,Bhavani Rau,uppalvrishti@example.com,913705629591,"61, Mitra Zila, Bhatpara-234618",Ghaziabad,553914,2024-02-06,Regular,8,1975.2099609375
1152215,Yachana Pathak,chakradevnigam@example.org,912968749008,"067, Rao Street
Motihari 908674",Dhanbad,251590,2024-05-27,Inactive,2,1637.4300537109375
1174162,Anirudh Vig,hema05@example.com,913087052860,"46/798
Sangha
Silchar 248580",Guna,413955,2023-07-02,Premium,12,1255.43994140625
1200365,Avni Mistry,rkurian@example.net,916473105621,"29/45, Morar Road, Sangli-Miraj & Kupwad 629491",Thane,151739,2023-06-21,Regular,1,1170.739990234375
1301661,Yashvi Parekh,rmanne@example.net,913098824463,"75/740, Tara Road, Pali 035417",Saharanpur,524586,2023-12-26,Inactive,8,623.7999877929688
1313292,Robert Kaur,mohinisarna@example.net,918400584200,"92/24, Nanda Chowk, Belgaum-142848",Korba,990395,2024-03-04,Inactive,20,1275.4100341796875
1342184,Girish Sem,krao@example.com,919414776168,"783
Nigam Circle, Karawal Nagar-701964",Dehradun,774395,2024-10-25,Inactive,20,1893.8299560546875
1449273,Forum Deol,pgarg@example.org,918190110689,"79
Chowdhury
Mathura-017308",Pondicherry,562307,2023-12-06,New,12,1758.239990234375
1469696,Gaurangi Banerjee,raghavanjagrati@example.com,911996578832,"98/623
Balasubramanian Zila, Alappuzha-147623",Jalna,74329,2023-06-24,Premium,6,1784.7900390625
1479065,Keya Grover,vbalakrishnan@example.org,912569948550,"179, Sekhon Ganj
Gurgaon-532079",Bokaro,717396,2024-02-09,New,17,1597.8299560546875
1491857,Naveen Balakrishnan,xuppal@example.net,913875475048,"21/938, Ravel Street, Gurgaon 597187",Morena,260718,2024-06-05,Premium,9,855.239990234375
1497747,Nachiket Kalla,solankibarkha@example.org,917538099191,"83/053
Deshmukh Road
Amravati-859834",Sangli-Miraj & Kupwad,323849,2024-04-11,Inactive,7,1241.72998046875
